,Accession,Filename
0,ERS225847,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#2.gff.fasta
1,ERS225664,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#82.gff.fasta
2,ERS225817,/store/home/surujon/SRA/snippy_PG350/contigs/10071_4#59.gff.fasta
3,ERS225701,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#31.gff.fasta
4,ERS225860,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#15.gff.fasta
5,ERS225629,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#47.gff.fasta
6,ERS225601,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#19.gff.fasta
7,ERS225717,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#47.gff.fasta
8,ERS225901,/store/home/surujon/SRA/snippy_PG350/contigs/10396_8#22.gff.fasta
9,ERS225613,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#31.gff.fasta
10,ERS225689,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#19.gff.fasta
11,ERS225752,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#82.gff.fasta
12,ERS225829,/store/home/surujon/SRA/snippy_PG350/contigs/10071_4#71.gff.fasta
13,ERS225816,/store/home/surujon/SRA/snippy_PG350/contigs/10071_4#58.gff.fasta
14,ERS225848,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#3.gff.fasta
15,ERS225665,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#83.gff.fasta
16,ERS225600,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#18.gff.fasta
17,ERS225628,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#46.gff.fasta
18,ERS225700,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#30.gff.fasta
19,ERS225859,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#14.gff.fasta
20,ERS225688,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#18.gff.fasta
21,ERS225612,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#30.gff.fasta
22,ERS225716,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#46.gff.fasta
23,ERS225907,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#62.gff.fasta
24,ERS225908,/store/home/surujon/SRA/snippy_PG350/contigs/10396_8#23.gff.fasta
25,ERS225828,/store/home/surujon/SRA/snippy_PG350/contigs/10071_4#70.gff.fasta
26,ERS225753,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#83.gff.fasta
27,ERS225894,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#49.gff.fasta
28,ERS225862,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#17.gff.fasta
29,ERS225703,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#33.gff.fasta
30,ERS225627,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#45.gff.fasta
31,ERS225591,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#9.gff.fasta
32,ERS225662,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#80.gff.fasta
33,ERS225750,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#80.gff.fasta
34,ERS225831,/store/home/surujon/SRA/snippy_PG350/contigs/10071_4#73.gff.fasta
35,ERS225906,/store/home/surujon/SRA/snippy_PG350/contigs/10208_2#61.gff.fasta
36,ERS225715,/store/home/surujon/SRA/snippy_PG350/contigs/9953_7#45.gff.fasta
37,ERS225615,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#33.gff.fasta
38,ERS225626,/store/home/surujon/SRA/snippy_PG350/contigs/10050_2#44.gff.fasta
