GBK,Accession,Strain
TVO_1901920,ERS225747,PG1
TVO_1901921,ERS225676,PG2
TVO_1901922,ERS225879,PG3
TVO_1901923,ERS225592,PG4
TVO_1901924,ERS225628,PG5
TVO_1901925,ERS225816,PG6
TVO_1901926,ERS225605,PG7
TVO_1901927,ERS225680,PG8
TVO_1901928,ERS225837,PG9
TVO_1901929,ERS225654,PG10
TVO_1901930,ERS225665,PG11
TVO_1901931,ERS225831,PG12
TVO_1901932,ERS225829,PG13
TVO_1901933,ERS225847,PG14
TVO_1901934,ERS225891,PG15
TVO_1901935,ERS225826,PG16
TVO_1901936,ERS225789,PG17
TVO_1901937,ERS225707,PG18
TVO_1901938,ERS225905,PG19
TVO_1901939,ERS225677,PG20
TVO_1901940,ERS225613,PG21
TVO_1901941,ERS225610,PG22
TVO_1901942,ERS225723,PG23
TVO_1901943,ERS225584,PG24
TVO_1901944,ERS225678,PG25
TVO_1901945,ERS225630,PG26
TVO_1901946,ERS225834,PG27
TVO_1901947,ERS225877,PG28
TVO_1901948,ERS225821,PG29
TVO_1901949,ERS225792,PG30
TVO_1901950,ERS225671,PG31
TVO_1901951,ERS225672,PG32
TVO_1901952,ERS225673,PG33
TVO_1901953,ERS225674,PG34
TVO_1901954,ERS225675,PG35
TVO_1901955,ERS225679,PG36
TVO_1901956,ERS225681,PG37
TVO_1901957,ERS225682,PG38
TVO_1901958,ERS225683,PG39
TVO_1901959,ERS225684,PG40
TVO_1901960,ERS225685,PG41
TVO_1901961,ERS225686,PG42
TVO_1901962,ERS225687,PG43
TVO_1901963,ERS225688,PG44
TVO_1901964,ERS225689,PG45
TVO_1901965,ERS225690,PG46
TVO_1901966,ERS225691,PG47
TVO_1901967,ERS225692,PG48
TVO_1901968,ERS225693,PG49
TVO_1901969,ERS225694,PG50
TVO_1901970,ERS225695,PG51
TVO_1901971,ERS225696,PG52
TVO_1901972,ERS225697,PG53
TVO_1901973,ERS225698,PG54
TVO_1901974,ERS225699,PG55
TVO_1901975,ERS225700,PG56
TVO_1901976,ERS225701,PG57
TVO_1901977,ERS225702,PG58
TVO_1901978,ERS225703,PG59
TVO_1901979,ERS225704,PG60
TVO_1901980,ERS225705,PG61
TVO_1901981,ERS225706,PG62
TVO_1901982,ERS225708,PG63
