,Group,Strain,File
0,MA,CNUJ02000001,../FASTA/CNUJ02000001.fasta
1,MA,CNUS02000001,../FASTA/CNUS02000001.fasta
2,MA,CNVV02000001,../FASTA/CNVV02000001.fasta
3,MA,CNVW02000001,../FASTA/CNVW02000001.fasta
4,MA,CNVX02000001,../FASTA/CNVX02000001.fasta
5,MA,CNVY02000001,../FASTA/CNVY02000001.fasta
6,MA,CNXN02000001,../FASTA/CNXN02000001.fasta
7,MA,CNXO02000001,../FASTA/CNXO02000001.fasta
8,MA,CNXP02000001,../FASTA/CNXP02000001.fasta
9,MA,CNXQ02000001,../FASTA/CNXQ02000001.fasta
10,MA,CNXR02000001,../FASTA/CNXR02000001.fasta
11,MA,CNXS02000001,../FASTA/CNXS02000001.fasta
12,MA,CNXT02000001,../FASTA/CNXT02000001.fasta
13,MA,CNXU02000001,../FASTA/CNXU02000001.fasta
14,MA,CNXV02000001,../FASTA/CNXV02000001.fasta
15,MA,CNXW02000001,../FASTA/CNXW02000001.fasta
16,MA,CNXX02000001,../FASTA/CNXX02000001.fasta
17,MA,CNXY02000001,../FASTA/CNXY02000001.fasta
18,MA,CNXZ02000001,../FASTA/CNXZ02000001.fasta
19,MA,CNYA02000001,../FASTA/CNYA02000001.fasta
20,MA,CNYB02000001,../FASTA/CNYB02000001.fasta
21,MA,CNYC02000001,../FASTA/CNYC02000001.fasta
22,MA,CNYD02000001,../FASTA/CNYD02000001.fasta
23,MA,COFK02000001,../FASTA/COFK02000001.fasta
24,MA,COFL02000001,../FASTA/COFL02000001.fasta
25,MA,COFM02000001,../FASTA/COFM02000001.fasta
26,MA,COFN02000001,../FASTA/COFN02000001.fasta
27,MA,COFO02000001,../FASTA/COFO02000001.fasta
28,MA,COFP02000001,../FASTA/COFP02000001.fasta
29,MA,COFQ02000001,../FASTA/COFQ02000001.fasta
0,Maela,CLXB01000001,../FASTA/CLXB01000001.fasta
1,Maela,CLSM01000001,../FASTA/CLSM01000001.fasta
2,Maela,CLSJ01000001,../FASTA/CLSJ01000001.fasta
3,Maela,CLNS01000001,../FASTA/CLNS01000001.fasta
4,Maela,CLXZ01000001,../FASTA/CLXZ01000001.fasta
5,Maela,CLSR01000001,../FASTA/CLSR01000001.fasta
6,Maela,CLTR01000001,../FASTA/CLTR01000001.fasta
7,Maela,CLMW01000001,../FASTA/CLMW01000001.fasta
8,Maela,CLOP01000001,../FASTA/CLOP01000001.fasta
9,Maela,CLKE01000001,../FASTA/CLKE01000001.fasta
10,Maela,CLYE01000001,../FASTA/CLYE01000001.fasta
11,Maela,CLNV01000001,../FASTA/CLNV01000001.fasta
12,Maela,CLND01000001,../FASTA/CLND01000001.fasta
13,Maela,CLZW01000001,../FASTA/CLZW01000001.fasta
14,Maela,CLQG01000001,../FASTA/CLQG01000001.fasta
15,Maela,CLWS01000001,../FASTA/CLWS01000001.fasta
16,Maela,CLOB01000001,../FASTA/CLOB01000001.fasta
17,Maela,CLQL01000001,../FASTA/CLQL01000001.fasta
18,Maela,CLWZ01000001,../FASTA/CLWZ01000001.fasta
19,Maela,CMFA01000001,../FASTA/CMFA01000001.fasta
20,Maela,CLIP01000001,../FASTA/CLIP01000001.fasta
21,Maela,CMDL01000001,../FASTA/CMDL01000001.fasta
22,Maela,CLMO01000001,../FASTA/CLMO01000001.fasta
23,Maela,CLRB01000001,../FASTA/CLRB01000001.fasta
24,Maela,CMEW01000001,../FASTA/CMEW01000001.fasta
25,Maela,CMBG01000001,../FASTA/CMBG01000001.fasta
26,Maela,CLNJ01000001,../FASTA/CLNJ01000001.fasta
27,Maela,CMDD01000001,../FASTA/CMDD01000001.fasta
28,Maela,CLZG01000001,../FASTA/CLZG01000001.fasta
29,Maela,CIDJ01000001,../FASTA/CIDJ01000001.fasta
0,Malawi,FIUC01000001,../FASTA/FIUC01000001.fasta
1,Malawi,FITW01000001,../FASTA/FITW01000001.fasta
2,Malawi,FIUJ01000001,../FASTA/FIUJ01000001.fasta
3,Malawi,FIUQ01000001,../FASTA/FIUQ01000001.fasta
4,Malawi,FITZ01000001,../FASTA/FITZ01000001.fasta
5,Malawi,FIUB01000001,../FASTA/FIUB01000001.fasta
6,Malawi,FIUK01000001,../FASTA/FIUK01000001.fasta
7,Malawi,FIUG01000001,../FASTA/FIUG01000001.fasta
8,Malawi,FIUL01000001,../FASTA/FIUL01000001.fasta
9,Malawi,FIWG01000001,../FASTA/FIWG01000001.fasta
10,Malawi,FIVN01000001,../FASTA/FIVN01000001.fasta
11,Malawi,FIUH01000001,../FASTA/FIUH01000001.fasta
12,Malawi,FIUN01000001,../FASTA/FIUN01000001.fasta
13,Malawi,FIUA01000001,../FASTA/FIUA01000001.fasta
14,Malawi,FIVI01000001,../FASTA/FIVI01000001.fasta
15,Malawi,FIVA01000001,../FASTA/FIVA01000001.fasta
16,Malawi,FIUX01000001,../FASTA/FIUX01000001.fasta
17,Malawi,FIVK01000001,../FASTA/FIVK01000001.fasta
18,Malawi,FITU01000001,../FASTA/FITU01000001.fasta
19,Malawi,FIVF01000001,../FASTA/FIVF01000001.fasta
20,Malawi,FITV01000001,../FASTA/FITV01000001.fasta
0,PACBio,CP035234,../FASTA/CP035234.fasta
1,PACBio,CP035235,../FASTA/CP035235.fasta
2,PACBio,CP035236,../FASTA/CP035236.fasta
3,PACBio,CP035237,../FASTA/CP035237.fasta
4,PACBio,CP035238,../FASTA/CP035238.fasta
5,PACBio,CP035239,../FASTA/CP035239.fasta
6,PACBio,CP035241,../FASTA/CP035241.fasta
7,PACBio,CP035242,../FASTA/CP035242.fasta
8,PACBio,CP035243,../FASTA/CP035243.fasta
9,PACBio,CP035244,../FASTA/CP035244.fasta
10,PACBio,CP035245,../FASTA/CP035245.fasta
11,PACBio,CP035246,../FASTA/CP035246.fasta
12,PACBio,CP035247,../FASTA/CP035247.fasta
13,PACBio,CP035248,../FASTA/CP035248.fasta
14,PACBio,CP035249,../FASTA/CP035249.fasta
15,PACBio,CP035250,../FASTA/CP035250.fasta
16,PACBio,CP035251,../FASTA/CP035251.fasta
17,PACBio,CP035252,../FASTA/CP035252.fasta
18,PACBio,CP035253,../FASTA/CP035253.fasta
19,PACBio,CP035254,../FASTA/CP035254.fasta
20,PACBio,CP035255,../FASTA/CP035255.fasta
21,PACBio,CP035256,../FASTA/CP035256.fasta
22,PACBio,CP035257,../FASTA/CP035257.fasta
23,PACBio,CP035258,../FASTA/CP035258.fasta
24,PACBio,CP035259,../FASTA/CP035259.fasta
25,PACBio,CP035260,../FASTA/CP035260.fasta
26,PACBio,CP035261,../FASTA/CP035261.fasta
27,PACBio,CP035262,../FASTA/CP035262.fasta
28,PACBio,CP035263,../FASTA/CP035263.fasta
29,PACBio,CP035264,../FASTA/CP035264.fasta
30,PACBio,CP035265,../FASTA/CP035265.fasta
31,PACBio,CP038251,../FASTA/CP038251.fasta
32,PACBio,CP038252,../FASTA/CP038252.fasta
33,PACBio,CP038253,../FASTA/CP038253.fasta
34,PACBio,TVO_1901942,../FASTA/TVO_1901942.fasta
35,PACBio,TVO_1901949,../FASTA/TVO_1901949.fasta
0,pre1974,CPPY01000001,../FASTA/CPPY01000001.fasta
1,pre1974,CPLB01000001,../FASTA/CPLB01000001.fasta
2,pre1974,CPNH01000001,../FASTA/CPNH01000001.fasta
3,pre1974,CPUH01000001,../FASTA/CPUH01000001.fasta
4,pre1974,CPPK01000001,../FASTA/CPPK01000001.fasta
5,pre1974,CPRF01000001,../FASTA/CPRF01000001.fasta
6,pre1974,CPPS01000001,../FASTA/CPPS01000001.fasta
7,pre1974,CPPE01000001,../FASTA/CPPE01000001.fasta
8,pre1974,CPSC01000001,../FASTA/CPSC01000001.fasta
9,pre1974,CPRJ01000001,../FASTA/CPRJ01000001.fasta
10,pre1974,CPTA01000001,../FASTA/CPTA01000001.fasta
11,pre1974,CPRQ01000001,../FASTA/CPRQ01000001.fasta
12,pre1974,CPRX01000001,../FASTA/CPRX01000001.fasta
13,pre1974,CPTT01000001,../FASTA/CPTT01000001.fasta
14,pre1974,CPNZ01000001,../FASTA/CPNZ01000001.fasta
15,pre1974,CPRA01000001,../FASTA/CPRA01000001.fasta
16,pre1974,CPTM01000001,../FASTA/CPTM01000001.fasta
17,pre1974,CPRK01000001,../FASTA/CPRK01000001.fasta
18,pre1974,CPOL01000001,../FASTA/CPOL01000001.fasta
19,pre1974,CPUO01000001,../FASTA/CPUO01000001.fasta
20,pre1974,CPPA01000001,../FASTA/CPPA01000001.fasta
21,pre1974,CPNC01000001,../FASTA/CPNC01000001.fasta
22,pre1974,CFKY01000001,../FASTA/CFKY01000001.fasta
23,pre1974,CHJU01000001,../FASTA/CHJU01000001.fasta
24,pre1974,CIJB01000001,../FASTA/CIJB01000001.fasta
25,pre1974,CGGD01000001,../FASTA/CGGD01000001.fasta
26,pre1974,CGBO01000001,../FASTA/CGBO01000001.fasta
27,pre1974,CIFD01000001,../FASTA/CIFD01000001.fasta
28,pre1974,CFNU01000001,../FASTA/CFNU01000001.fasta
29,pre1974,CGAL01000001,../FASTA/CGAL01000001.fasta
30,pre1974,CHCV01000001,../FASTA/CHCV01000001.fasta
31,pre1974,CFVJ01000001,../FASTA/CFVJ01000001.fasta
32,pre1974,CHYT01000001,../FASTA/CHYT01000001.fasta
33,pre1974,CIEZ01000001,../FASTA/CIEZ01000001.fasta
34,pre1974,CIJN01000001,../FASTA/CIJN01000001.fasta
35,pre1974,CHJT01000001,../FASTA/CHJT01000001.fasta
36,pre1974,CGGJ01000001,../FASTA/CGGJ01000001.fasta
37,pre1974,CHDA01000001,../FASTA/CHDA01000001.fasta
0,RefSeq,NC_003028,../FASTA/NC_003028.fasta
1,RefSeq,NC_003098,../FASTA/NC_003098.fasta
2,RefSeq,NC_008533,../FASTA/NC_008533.fasta
3,RefSeq,NC_010380,../FASTA/NC_010380.fasta
4,RefSeq,NC_010582,../FASTA/NC_010582.fasta
5,RefSeq,NC_011072,../FASTA/NC_011072.fasta
6,RefSeq,NC_011900,../FASTA/NC_011900.fasta
7,RefSeq,NC_012466,../FASTA/NC_012466.fasta
8,RefSeq,NC_012467,../FASTA/NC_012467.fasta
9,RefSeq,NC_012468,../FASTA/NC_012468.fasta
10,RefSeq,NC_012469,../FASTA/NC_012469.fasta
11,RefSeq,NC_014251,../FASTA/NC_014251.fasta
12,RefSeq,NC_014494,../FASTA/NC_014494.fasta
13,RefSeq,NC_014498,../FASTA/NC_014498.fasta
14,RefSeq,NC_017591,../FASTA/NC_017591.fasta
15,RefSeq,NC_017592,../FASTA/NC_017592.fasta
16,RefSeq,NC_017593,../FASTA/NC_017593.fasta
17,RefSeq,NC_017769,../FASTA/NC_017769.fasta
18,RefSeq,NC_018594,../FASTA/NC_018594.fasta
19,RefSeq,NC_018630,../FASTA/NC_018630.fasta
20,RefSeq,NZ_CP018838,../FASTA/NZ_CP018838.fasta
21,RefSeq,NZ_CP026670,../FASTA/NZ_CP026670.fasta
22,RefSeq,NZ_CP027540,../FASTA/NZ_CP027540.fasta
0,Southampton,FYON01000036,../FASTA/FYON01000036.fasta
1,Southampton,FYOS01000037,../FASTA/FYOS01000037.fasta
2,Southampton,FYOX01000034,../FASTA/FYOX01000034.fasta
3,Southampton,FYPF01000045,../FASTA/FYPF01000045.fasta
4,Southampton,FYPD01000047,../FASTA/FYPD01000047.fasta
5,Southampton,FYOV01000058,../FASTA/FYOV01000058.fasta
6,Southampton,FYPI01000069,../FASTA/FYPI01000069.fasta
7,Southampton,FYPJ01000054,../FASTA/FYPJ01000054.fasta
8,Southampton,FYPM01000037,../FASTA/FYPM01000037.fasta
9,Southampton,FYPN01000071,../FASTA/FYPN01000071.fasta
10,Southampton,FYPP01000050,../FASTA/FYPP01000050.fasta
11,Southampton,FYPO01000064,../FASTA/FYPO01000064.fasta
12,Southampton,FYPT01000038,../FASTA/FYPT01000038.fasta
13,Southampton,FYPW01000051,../FASTA/FYPW01000051.fasta
14,Southampton,FYPV01000110,../FASTA/FYPV01000110.fasta
15,Southampton,FYPY01000040,../FASTA/FYPY01000040.fasta
16,Southampton,FYPS01000035,../FASTA/FYPS01000035.fasta
17,Southampton,FYPX01000039,../FASTA/FYPX01000039.fasta
18,Southampton,FYPZ01000032,../FASTA/FYPZ01000032.fasta
19,Southampton,FYQF01000074,../FASTA/FYQF01000074.fasta
20,Southampton,FYQP01000041,../FASTA/FYQP01000041.fasta
21,Southampton,FYQI01000029,../FASTA/FYQI01000029.fasta
22,Southampton,FYQC01000020,../FASTA/FYQC01000020.fasta
23,Southampton,FYQX01000050,../FASTA/FYQX01000050.fasta
24,Southampton,FYRC01000036,../FASTA/FYRC01000036.fasta
25,Southampton,FYRD01000056,../FASTA/FYRD01000056.fasta
26,Southampton,FYQH01000054,../FASTA/FYQH01000054.fasta
27,Southampton,FYRG01000010,../FASTA/FYRG01000010.fasta
28,Southampton,FYRQ01000047,../FASTA/FYRQ01000047.fasta
29,Southampton,FYRT01000027,../FASTA/FYRT01000027.fasta
