snp-dists 0.7.0	CFKY01000001	CFNU01000001	CFVJ01000001	CGAL01000001	CGBO01000001	CGGD01000001	CGGJ01000001	CHCV01000001	CHDA01000001	CHJT01000001	CHJU01000001	CHYT01000001	CIDJ01000001	CIEZ01000001	CIFD01000001	CIJB01000001	CIJN01000001	CLIP01000001	CLKE01000001	CLMO01000001	CLMW01000001	CLND01000001	CLNJ01000001	CLNS01000001	CLNV01000001	CLOB01000001	CLOP01000001	CLQG01000001	CLQL01000001	CLRB01000001	CLSJ01000001	CLSM01000001	CLSR01000001	CLTR01000001	CLWS01000001	CLWZ01000001	CLXB01000001	CLXZ01000001	CLYE01000001	CLZG01000001	CLZW01000001	CMBG01000001	CMDD01000001	CMDL01000001	CMEW01000001	CMFA01000001	CNUJ02000001	CNUS02000001	CNVV02000001	CNVW02000001	CNVX02000001	CNVY02000001	CNXN02000001	CNXO02000001	CNXP02000001	CNXQ02000001	CNXR02000001	CNXS02000001	CNXT02000001	CNXU02000001	CNXV02000001	CNXW02000001	CNXX02000001	CNXY02000001	CNXZ02000001	CNYA02000001	CNYB02000001	CNYC02000001	CNYD02000001	COFK02000001	COFL02000001	COFM02000001	COFN02000001	COFO02000001	COFP02000001	COFQ02000001	CP035234	CP035235	CP035236	CP035237	CP035238	CP035239	CP035241	CP035242	CP035243	CP035244	CP035245	CP035246	CP035247	CP035248	CP035249	CP035250	CP035251	CP035252	CP035253	CP035254	CP035255	CP035256	CP035257	CP035258	CP035259	CP035260	CP035261	CP035262	CP035263	CP035264	CP035265	CP038251	CP038252	CP038253	CPLB01000001	CPNC01000001	CPNH01000001	CPNZ01000001	CPOL01000001	CPPA01000001	CPPE01000001	CPPK01000001	CPPS01000001	CPPY01000001	CPRA01000001	CPRF01000001	CPRJ01000001	CPRK01000001	CPRQ01000001	CPRX01000001	CPSC01000001	CPTA01000001	CPTM01000001	CPTT01000001	CPUH01000001	CPUO01000001	FITU01000001	FITV01000001	FITW01000001	FITZ01000001	FIUA01000001	FIUB01000001	FIUC01000001	FIUG01000001	FIUH01000001	FIUJ01000001	FIUK01000001	FIUL01000001	FIUN01000001	FIUQ01000001	FIUX01000001	FIVA01000001	FIVF01000001	FIVI01000001	FIVK01000001	FIVN01000001	FIWG01000001	FYON01000036	FYOS01000037	FYOV01000058	FYOX01000034	FYPD01000047	FYPF01000045	FYPI01000069	FYPJ01000054	FYPM01000037	FYPN01000071	FYPO01000064	FYPP01000050	FYPS01000035	FYPT01000038	FYPV01000110	FYPW01000051	FYPX01000039	FYPY01000040	FYPZ01000032	FYQC01000020	FYQF01000074	FYQH01000054	FYQI01000029	FYQP01000041	FYQX01000050	FYRC01000036	FYRD01000056	FYRG01000010	FYRQ01000047	FYRT01000027	NC_003028	NC_003098	NC_008533	NC_010380	NC_010582	NC_011072	NC_011900	NC_012466	NC_012467	NC_012468	NC_012469	NC_014251	NC_014494	NC_014498	NC_017591	NC_017592	NC_017593	NC_017769	NC_018594	NC_018630	NZ_CP018838	NZ_CP026670	NZ_CP027540	Reference	TVO_1901942	TVO_1901949
CFKY01000001	0	13567	6058	13596	14785	15435	14432	14481	2417	15316	1599	15102	15690	14491	13443	15202	14658	14083	14449	19163	14287	15058	15344	17042	15007	15267	14398	15099	15273	16153	15781	16182	15610	15498	14475	15016	18043	14582	14855	13902	14595	16124	14015	16178	14270	19912	15033	15082	13504	15015	15521	14131	13417	13934	14722	14027	15455	16872	14297	13888	15939	14031	15187	14680	14128	15513	14059	14167	15423	14172	14334	14538	14642	13916	13646	13999	14025	13990	14433	16263	12558	14868	14001	13795	13951	14133	15064	15492	15510	14911	14635	14810	13876	14007	14404	14421	15067	14789	14813	13899	13870	13579	14485	14705	14455	13742	13785	14039	14193	14621	15004	6248	15835	2344	15137	13489	14340	14368	15231	13596	13189	1673	15987	15121	15492	14705	14768	13159	14951	15022	14104	15160	15519	15544	15249	15492	15528	15620	15604	15539	15503	15505	15610	15485	15675	15547	15505	15629	15522	15939	15534	15278	13679	13989	14029	15058	13985	14228	14215	14186	15005	14835	14416	14448	14131	14137	13816	13972	15399	15213	13765	13431	14292	14366	14176	13921	14212	14146	14417	13962	13981	14537	14050	14879	12576	12538	18378	16030	14481	15269	14897	15591	15171	16231	15904	14145	15481	14760	15016	15077	17148	16262	15101	18869	15269	12540	14879	15025	14007
CFNU01000001	13567	0	13596	13915	14463	15225	13982	12457	13413	15173	13488	14539	15524	13034	13601	14143	14360	14493	13920	17853	14681	14703	14586	16826	14512	15278	14694	14769	14185	16020	15505	16065	15216	14389	13985	14563	17156	14125	14318	14001	13599	15790	14477	15869	13382	19432	14432	14614	13730	14404	14293	14793	13711	14109	14992	14355	14246	16794	13916	13864	16045	13683	15046	13516	14883	15120	14255	14330	14215	14914	14255	14698	13573	13957	14940	14438	14472	14462	14317	16294	13719	15148	13978	14425	14642	14462	14420	15361	15393	14914	14456	15102	13894	14055	14044	14045	14326	14046	13576	3275	3264	13748	14265	14232	14473	13946	14022	14365	14907	13596	15021	13513	15271	13411	14562	13943	14386	8314	15481	3159	13942	13666	16239	14368	14222	14682	14800	13912	14215	13888	7532	14956	14939	14940	14716	14925	14955	15041	15040	14938	14912	14924	15073	14919	14962	14979	14943	15075	14945	14935	14943	14761	14799	14292	14396	13720	14291	14621	14631	14446	14381	14265	14707	14431	13649	14222	13815	3760	15248	14472	13904	13900	14285	14373	14470	14214	14620	14152	13776	13915	14241	14513	14420	15163	13756	13700	18406	15697	14876	15346	14740	15204	14433	16277	15991	14355	15239	14522	14390	15170	17147	15819	14927	18176	15346	13681	15163	14421	13995
CFVJ01000001	6058	13596	0	13734	14464	15352	14102	14503	5076	15238	6088	13790	15774	14756	12632	14693	13240	14043	14331	18955	14623	15040	15387	17083	14977	15297	14595	15247	14797	16306	15931	16329	15315	15112	14379	14745	17838	14665	14934	14487	14683	16291	14324	16318	14363	20012	14888	15029	13495	14308	15130	13975	13898	13990	14571	14015	15061	16785	13683	13798	16023	14022	15226	14330	13954	15366	14213	14313	15027	14007	13757	14440	14975	13810	14096	14031	14097	14050	14297	16131	11974	14669	14117	13940	14082	14223	14350	15291	15301	15085	14819	14612	13850	14007	13780	13792	14975	14711	15032	13754	13729	13477	14496	14978	14360	13185	13130	14009	14480	14913	14264	859	15775	4962	13796	13638	14077	14232	15028	13497	13131	6902	16155	14518	15418	13304	14746	13475	14803	14904	14272	14602	14891	14924	14684	14875	14893	14955	14979	14892	14879	14870	14978	14856	15016	14928	14888	14989	14892	15330	14921	14727	13660	13991	14184	15003	14109	14233	14208	14306	14279	14829	14351	14545	14088	13486	13941	13498	15139	13908	13653	13877	13591	14463	14291	13425	14190	14074	14525	13925	13470	13904	14183	14683	11973	11946	18665	16322	14378	15367	14979	15026	15161	16092	15986	14296	15494	14943	14300	15004	16992	16267	14768	19235	15367	11936	14684	14295	14117
CGAL01000001	13596	13915	13734	0	14967	15642	13981	14668	13440	15528	13667	14359	15063	13934	14207	13748	14565	14515	14387	18482	11308	15215	14885	17085	15201	8275	11104	15160	15415	16237	16232	16250	15566	15063	14430	15130	17187	14973	15006	14469	14855	16579	14478	16626	14694	19525	15321	10680	9816	15143	15693	14154	14166	9448	14954	14652	15689	16252	14721	9971	14531	9688	15870	15331	14082	15956	14540	14593	15636	14113	14479	14588	14183	10041	14442	14381	14444	14411	14618	16102	13977	14901	14142	14039	14458	14812	15175	15821	15836	15296	14964	14861	9404	9999	14821	14796	15086	14844	14099	13963	13944	14412	15097	14747	14944	13919	13924	14632	14059	13875	14426	13536	15866	13417	14420	1401	14164	14361	9065	13671	13263	13846	15780	14201	15096	14251	15028	4882	12762	14599	14576	14216	14615	14618	14460	14738	14604	14754	14780	14642	14604	14600	14790	14592	14761	14641	14576	14784	14626	14572	14640	14491	14410	14646	13917	14272	14557	13789	13778	14074	15093	14994	14960	14461	9863	14671	12443	14185	15818	14121	9033	14125	14472	14451	14696	14727	13774	9667	14525	9572	14793	14641	13925	14918	14026	13951	19438	15347	14695	8258	7221	14485	14558	16089	14468	14548	15988	14956	15134	15637	16814	16350	14821	17894	8258	13945	14918	15114	14158
CGBO01000001	14785	14463	14464	14967	0	14818	13835	14442	14462	14761	14679	14734	15697	15349	14080	15897	14376	14712	14311	19146	15087	15734	15519	17897	15570	16243	14674	15218	14469	16901	16179	16915	15705	14901	14314	14986	17852	14829	14984	15095	14795	16501	15348	16533	14908	19759	15393	14934	13576	15032	15768	14527	15197	14148	14857	14786	15758	17060	14849	13790	16236	13883	15719	13998	14523	15832	14837	14924	15693	14548	14993	15000	15142	13850	15520	14767	14817	14767	15366	16578	14436	15900	14593	14929	15146	14917	15065	14911	14905	16010	15565	15819	13744	13815	14968	14975	15003	15058	15305	14373	14342	13978	15277	15454	15289	14325	14385	14791	15940	15250	15060	14438	15772	14646	14756	14980	14792	14569	16204	14251	15107	15119	17008	14554	15314	14608	15569	14344	15314	13784	14417	15703	15115	15134	14964	15252	15128	15203	15224	15125	15070	15102	15229	15085	15194	15146	15121	15254	15112	15115	15176	15000	14947	14810	14833	15132	14833	15159	15132	14967	14998	15078	15161	14320	13874	14491	14620	14444	14994	14863	13638	15067	14741	14271	14975	15208	15103	14010	13809	13845	15304	15012	14858	15917	14462	14413	18888	16630	14674	16245	15612	15242	15139	16557	16195	14917	15449	15532	15018	15992	17450	16820	15272	19671	16245	14402	15920	14990	14624
CGGD01000001	15435	15225	15352	15642	14818	0	15622	15073	15255	621	14959	14903	16011	15873	14826	16094	15236	15610	14931	19001	16078	15490	15397	17326	15302	17137	15972	15773	15214	16034	16085	16056	16204	14852	14907	15159	17778	15317	15820	15435	15166	16400	15384	16422	15170	19633	15617	16532	15319	14393	15760	15428	15797	15640	15756	14674	15741	17633	15264	15449	16828	15630	15476	14965	15433	15786	15246	15316	15672	15526	15507	15306	15744	15476	16184	14837	14849	14789	15592	17105	15362	16472	14679	15428	15500	14793	14421	1556	1559	16196	15845	16414	15359	15389	15414	15391	15851	15754	15722	15202	15226	14815	15850	16136	15739	15100	15124	14628	16056	15691	15549	15320	15869	15271	14908	15784	15653	14947	16954	15078	15595	15628	17385	14400	14500	14984	15865	15404	16004	14965	14922	16204	16083	16103	15947	16131	16098	16154	16159	16096	16075	16074	16153	16045	16120	16099	16048	16181	16034	16054	16083	15951	15245	14693	15502	15367	15242	15835	15805	15608	14354	15830	15028	15302	15666	15520	15859	15240	2734	14836	15361	15720	15511	15299	15408	15919	15776	15779	14458	15412	15969	15751	15505	16486	15401	15357	19446	17313	15636	17223	16473	16063	15347	17090	16812	15343	16532	15914	14383	16447	17946	15956	15682	20375	17223	15328	16488	14374	14709
CGGJ01000001	14432	13982	14102	13981	13835	15622	0	14340	14435	15498	14470	14700	14370	14786	14188	6186	14845	15213	14860	19215	14877	14598	15479	15969	14532	15872	15134	15705	15108	15569	16128	15558	16311	15596	14887	14896	17882	14827	14902	15037	14609	16454	15302	16491	14725	20270	15783	15096	13927	15141	14094	15051	14181	14094	15323	14599	14101	17455	14191	13986	16522	14151	15807	14892	15023	16051	14802	14845	14036	15050	14728	13693	14895	14025	15756	13783	13776	13749	12676	16891	13749	14921	14461	14221	14336	14631	15145	15860	15873	15885	15417	14853	13761	13873	14331	14297	16098	15941	14696	14088	14104	14632	15411	13970	13811	13927	14010	14574	15595	14896	14788	14017	16106	14265	14792	14347	14585	13791	15866	14105	14496	14632	17082	14338	15367	14196	13895	13860	7076	13244	14165	7924	15844	15844	15426	15761	15820	15890	15924	15835	15804	15805	15924	15797	15677	15844	15820	15925	15807	16301	15883	15457	13935	14573	14234	15188	14943	15501	15521	14348	15119	15770	14992	15222	14139	14051	14967	14230	15888	14963	13779	14152	14970	15202	15065	14324	15476	14185	14978	13847	14357	15209	14194	14933	13774	13738	19542	15509	15161	15940	15041	15616	15291	16860	16475	14881	15833	15509	15124	14629	17661	16758	15527	19281	15940	13714	14935	15112	14506
CHCV01000001	14481	12457	14503	14668	14442	15073	14340	0	14401	14981	14468	13828	15553	14772	14475	14087	13829	14661	13554	18477	14481	14996	14919	16286	14778	15904	14548	14604	15162	15332	14964	15364	15264	14248	13580	13754	17105	14424	14696	14027	12689	15308	14864	15344	12902	18989	14543	14465	13770	14012	13831	15114	14968	14116	14748	14246	13832	16420	14516	13738	15182	13408	14570	14562	15071	14905	13813	13892	13775	15125	15054	14106	14961	13785	14968	14420	14409	14381	14498	15715	14448	15452	13150	14765	14970	14332	14019	15114	15144	15625	14927	15381	13586	13758	14672	14656	14406	14239	14905	12094	12066	13596	14157	14411	14807	14749	14790	14227	15118	14994	14850	14467	15439	14423	13885	14661	14468	11349	15698	12605	15365	14750	16551	13923	14325	14030	14878	14190	14769	13973	11354	15318	15418	15435	15207	15388	15433	15532	15521	15421	15382	15416	15527	15402	15423	15450	15393	15549	15401	15414	15408	15237	14523	14170	14627	13378	13876	15047	15049	14640	14007	14395	14610	14786	13432	14883	14090	12288	15130	13864	13570	14829	14912	14747	14016	14756	15020	14065	13554	13625	14794	15185	14642	15469	14489	14455	18144	16082	14512	15904	15383	15596	14487	15685	15137	13867	15192	15048	13994	15429	16623	15964	14990	19244	15904	14421	15469	13971	13156
CHDA01000001	2417	13413	5076	13440	14462	15255	14435	14401	0	15146	3144	14846	15772	14347	12856	15144	14417	13836	14324	18978	14171	15183	15310	16976	15034	15128	14249	14992	15091	16114	15730	16136	15413	15368	14332	14862	18031	14367	14599	13944	14429	16057	14178	16111	14102	19736	14832	14984	13378	14742	15216	13518	13739	13793	14577	13745	15165	16627	14093	13769	15785	13928	15039	14512	13550	15563	14109	14210	15112	13586	13882	14523	14381	13772	13940	13697	13718	13700	14344	16001	12455	14886	14024	14076	14265	13846	14775	15290	15306	14856	14457	14831	13800	13896	14229	14238	14908	14609	14505	13538	13520	13460	14333	14594	14368	13174	13214	13750	14198	14413	14898	5339	15675	1302	14873	13344	14147	14052	15117	13252	12986	3628	16082	14876	15305	14434	14743	13062	14671	15002	14043	15210	15296	15306	15011	15247	15300	15386	15385	15284	15285	15275	15399	15262	15420	15324	15287	15412	15287	15713	15317	15065	13712	13710	14149	14939	14002	14065	14037	14318	14721	14719	14127	14134	14001	13716	13713	13342	15173	14966	13621	13813	13857	14073	14164	13659	14024	14027	14313	13864	13703	14099	14167	14895	12467	12430	18350	15962	14254	15206	14830	15373	15070	15956	15745	14213	15493	14577	14737	15004	16880	16194	14838	18679	15206	12426	14896	14748	14056
CHJT01000001	15316	15173	15238	15528	14761	621	15498	14981	15146	0	14867	14798	15901	15870	14732	15980	15169	15466	14820	18924	16035	15399	15324	17245	15190	17059	15924	15727	15114	15933	16088	15958	16092	14821	14818	15099	17758	15248	15758	15303	15120	16394	15252	16430	15117	19542	15600	16496	15241	14330	15681	15335	15692	15581	15623	14614	15654	17599	15188	15388	16760	15607	15446	14886	15338	15823	15166	15233	15592	15398	15356	15269	15735	15424	16103	14785	14794	14740	15502	17024	15290	16363	14573	15283	15393	14729	14347	1859	1860	16069	15715	16309	15301	15333	15323	15300	15805	15712	15716	15141	15170	14713	15735	16078	15707	15033	15058	14576	15983	15663	15476	15262	15819	15180	14826	15640	15552	14879	16872	15002	15470	15505	17323	14349	14441	14927	15791	15322	15881	14900	14916	16072	15981	16015	15860	16031	16007	16054	16074	16007	15991	15988	16064	15960	16054	16011	15959	16098	15952	15955	15985	15850	15150	14641	15348	15298	15174	15732	15710	15469	14278	15793	14997	15224	15621	15438	15763	15171	2945	14780	15301	15609	15365	15224	15294	15843	15698	15678	14456	15296	15896	15588	15352	16377	15323	15276	19359	17267	15517	17151	16402	15976	15342	17008	16748	15266	16508	15771	14314	16394	17872	15866	15558	20306	17151	15245	16379	14303	14612
