snp-dists 0.7.0	PG1	PG10	PG100	PG101	PG102	PG103	PG104	PG105	PG106	PG107	PG108	PG109	PG11	PG110	PG111	PG112	PG113	PG114	PG115	PG116	PG117	PG118	PG119	PG12	PG120	PG121	PG122	PG123	PG124	PG125	PG126	PG127	PG128	PG129	PG13	PG130	PG131	PG132	PG133	PG134	PG135	PG136	PG137	PG138	PG139	PG14	PG140	PG141	PG142	PG143	PG144	PG145	PG146	PG147	PG148	PG149	PG15	PG150	PG151	PG152	PG153	PG154	PG155	PG156	PG157	PG158	PG159	PG16	PG160	PG161	PG162	PG163	PG164	PG165	PG166	PG167	PG168	PG169	PG17	PG170	PG171	PG172	PG173	PG174	PG175	PG176	PG177	PG178	PG179	PG18	PG180	PG181	PG182	PG183	PG184	PG185	PG186	PG187	PG188	PG189	PG19	PG190	PG191	PG192	PG193	PG194	PG195	PG196	PG197	PG198	PG199	PG2	PG20	PG200	PG201	PG202	PG203	PG204	PG205	PG206	PG207	PG208	PG209	PG21	PG210	PG211	PG212	PG213	PG214	PG215	PG216	PG217	PG218	PG219	PG22	PG220	PG221	PG222	PG223	PG224	PG225	PG226	PG227	PG228	PG229	PG23	PG230	PG231	PG232	PG233	PG234	PG235	PG236	PG237	PG238	PG239	PG24	PG240	PG241	PG242	PG243	PG244	PG245	PG246	PG247	PG248	PG249	PG25	PG250	PG251	PG252	PG253	PG254	PG255	PG256	PG257	PG258	PG259	PG26	PG260	PG261	PG262	PG263	PG264	PG265	PG266	PG267	PG268	PG269	PG27	PG270	PG271	PG272	PG273	PG274	PG275	PG276	PG277	PG278	PG279	PG28	PG280	PG281	PG282	PG283	PG284	PG285	PG286	PG287	PG288	PG289	PG29	PG290	PG291	PG292	PG293	PG294	PG295	PG296	PG297	PG298	PG299	PG3	PG30	PG300	PG301	PG302	PG303	PG304	PG305	PG306	PG307	PG308	PG309	PG31	PG310	PG311	PG312	PG313	PG314	PG315	PG316	PG317	PG318	PG319	PG32	PG320	PG321	PG322	PG323	PG324	PG325	PG326	PG327	PG328	PG329	PG33	PG330	PG331	PG332	PG333	PG334	PG335	PG336	PG337	PG338	PG339	PG34	PG340	PG341	PG342	PG343	PG344	PG345	PG346	PG347	PG348	PG349	PG35	PG350	PG36	PG37	PG38	PG39	PG4	PG40	PG41	PG42	PG43	PG44	PG45	PG46	PG47	PG48	PG49	PG5	PG50	PG51	PG52	PG53	PG54	PG55	PG56	PG57	PG58	PG59	PG6	PG60	PG61	PG62	PG63	PG64	PG65	PG66	PG67	PG68	PG69	PG7	PG70	PG71	PG72	PG73	PG74	PG75	PG76	PG77	PG78	PG79	PG8	PG80	PG81	PG82	PG83	PG84	PG85	PG86	PG87	PG88	PG89	PG9	PG90	PG91	PG92	PG93	PG94	PG95	PG96	PG97	PG98	PG99	Reference
PG1	0	14887	14621	15238	14810	14683	14840	15235	14604	15240	15236	13713	14735	15324	13836	15275	13817	13898	14248	14197	14705	7195	14816	14752	15413	15255	92	15240	15017	15013	14326	14990	13575	15159	14073	13866	14833	15317	15140	15239	14575	13921	14313	14594	15306	14078	323	14794	15370	14900	14594	15188	13858	14856	14338	15199	13383	14664	14029	15221	14351	14145	14336	15218	15231	14835	14857	13620	14174	15265	13860	7119	15230	13846	14816	15224	14769	15239	15158	15242	15381	14909	14083	13902	14379	13945	14594	14582	14324	15230	14315	14813	14923	14854	14859	14310	14616	14314	15252	7218	14618	15207	15122	14610	14667	15219	15326	15494	13653	13626	13836	232	15360	13840	14614	14631	15322	13695	14322	14559	15340	14285	14165	15195	15224	14492	14610	15253	14493	14594	14601	14555	14229	15243	15236	14917	14759	14607	15253	7285	14630	14518	15265	14632	15269	14533	15242	14348	14364	14641	14148	13831	5829	13820	13675	13819	14561	15230	15307	15224	15221	15080	14392	14299	14339	15117	14610	14028	14347	13709	13841	14607	14334	14859	14333	14329	15308	13666	14193	14637	14509	15184	14319	14224	13894	14624	14595	14634	15218	14516	15225	15251	14658	15229	14758	14324	14154	7022	13866	15229	14356	14267	14540	14978	14592	14865	14576	13965	14626	14320	13675	14298	14592	14606	13714	14557	15230	14012	14967	14591	15255	15285	14610	14321	13678	14984	14575	14620	14338	15231	14412	14592	14013	15215	14232	15217	15259	14625	14583	15191	14905	14830	15225	7777	13457	14244	14323	13798	15195	13715	14745	15280	14247	60	13694	14329	15146	15542	14316	15210	14336	14263	14733	15208	14318	14850	6071	14605	15191	13490	14337	14741	14631	14500	15009	15251	13662	14924	14494	14426	14955	14827	15224	15328	14972	14155	14321	13696	93	14598	15246	14231	14164	14566	15266	14777	14749	14338	15134	14342	14925	14836	13854	14621	13454	14855	14290	13824	14624	14319	15244	14355	15320	60	14322	15273	14538	13831	14862	14244	15017	14311	7217	15275	13969	14244	15147	15088	13833	15287	15332	13930	14231	7221	14545	6060	14281	14017	14611	14866	14532	14904	13847	14954	15310	14408	13826	15261	15301	14871	15234
PG10	14887	0	14264	15914	15542	15500	1111	15750	14276	15955	15743	14973	15405	15694	14735	15536	14753	14732	15189	14590	15471	14442	15167	15548	15080	15992	14870	15754	1625	15838	14981	15312	14258	14951	15481	14772	15645	15284	2857	15948	15143	14771	14978	15179	15274	15510	14942	15998	15043	15209	14244	15900	14772	14656	14777	15951	14039	14734	15014	15946	14990	14705	14982	15677	15740	14649	1114	13998	15164	15542	14782	14758	15934	14737	1640	15722	2709	15957	15045	15933	15049	761	14890	14740	14857	14764	14245	14784	14756	15717	14268	14649	15376	1120	1104	15073	14279	14974	15496	14450	14274	15726	2866	14274	16001	15886	15267	15685	13912	14325	14743	14804	15038	14765	14269	14302	15271	14932	14973	15147	15012	14836	14709	15915	15740	14510	14285	15532	14492	14308	14273	15148	15216	15909	15924	1958	14998	15186	15966	14886	14300	15248	15934	14877	15711	15135	15991	15012	15015	14278	15943	14752	14899	14736	13130	14740	15152	15742	15287	15748	15943	15474	15182	14715	15095	2866	14472	15135	14999	14980	14757	15177	14982	14729	15190	14986	15289	14302	15210	14290	15110	16416	14970	14707	14763	14277	15163	14297	15930	15111	15737	15764	14303	15937	15556	15002	14711	14805	14780	15741	14951	15234	15559	15044	14283	1120	14226	14813	14294	14963	13131	14952	15174	14244	14958	15161	15947	15116	15318	15176	15942	15547	14616	14981	13150	15321	15129	14291	14363	15929	14809	15183	15162	15931	14169	15934	15512	14272	15197	15930	15317	15062	16019	14897	14209	15215	14999	14301	15910	14963	15542	15964	15204	14933	14983	14993	2852	15344	15013	15974	15014	15212	15515	15938	14985	1984	14661	15202	15917	14223	14968	15503	15203	14479	15423	15939	14914	14235	14479	14799	15262	1820	15945	15300	15130	14715	14986	14658	14885	15219	15941	15196	15949	15173	15271	15439	15546	15007	2855	14979	14111	1834	14771	14328	14187	15256	14331	14755	14269	14998	15039	14994	15283	14858	14990	15544	15152	14727	1110	15216	15150	15068	16062	15717	14776	14656	15057	15662	14730	15553	15295	15169	14172	16045	15148	15686	15010	13805	14262	2077	15141	15892	14757	16265	15291	14406	14742	15951	15257	1114	15765
PG100	14621	14264	0	15948	15751	15671	14377	16274	19	15965	16270	14891	15532	15981	14760	16394	14764	14955	13903	15668	15629	14293	15741	15848	6484	16054	14589	16293	14447	15918	13882	15425	14998	15953	15839	14778	15814	15848	14894	15975	15734	14978	13899	15763	15827	15843	14593	16222	6454	15710	37	15971	14800	15456	15463	15746	14963	15403	14846	15964	13925	15866	13914	16261	16263	15466	14384	14936	15428	16374	14788	14998	15952	14770	14523	16253	14552	15965	15603	15971	6461	14255	14860	14947	15513	14982	33	15451	15570	16248	15441	15455	15325	14401	14392	13897	34	13877	16258	14271	32	16254	14869	41	16227	15943	15841	15371	14928	14846	14770	14632	6439	14791	31	34	15809	14843	13904	15729	6443	15651	15861	15927	16246	14845	32	16367	14808	35	46	15712	13887	15963	15960	14655	15629	15794	15970	15104	40	16194	15985	15483	16213	15699	16025	13930	13953	37	16455	14780	14748	14753	14716	14761	15740	16273	15827	15906	15980	15340	15405	15742	13917	14858	15421	14472	13903	14893	14765	15772	13897	15566	15438	13894	15804	14850	14925	43	15458	16795	13881	15603	14981	41	15737	43	15962	15488	16247	16285	49	15962	15726	13879	15872	15023	14819	16257	15262	13921	14902	7021	45	14396	37	14958	35	13916	14741	13879	15758	38	14906	15738	15970	14445	15523	15751	15976	16337	15141	13893	14708	15530	15741	37	14403	15959	15803	15755	14504	15952	15300	15960	16386	32	15778	15940	16275	15305	16078	14709	14907	13882	13887	15233	15925	14885	15724	15995	13900	14664	14882	13898	14898	16211	13900	16006	13905	13917	15681	15931	13899	14755	14690	15766	15936	14942	13898	15675	15791	14831	16204	15973	14847	15668	14814	15091	15486	14680	15960	15846	15510	15879	13878	14973	14650	15764	15969	13887	16462	15720	15814	15573	15699	13921	14871	13913	16074	14689	14802	20	14944	15363	14353	14783	27	13892	15553	13911	15841	14607	13901	16383	15717	14765	14388	13883	15398	13897	15731	16204	15631	15440	15763	15395	14759	16416	15844	15625	15285	15737	15723	15378	13897	14931	20	14568	15715	15883	14757	16761	15830	15672	14755	15982	15826	14388	16291
PG101	15238	15914	15948	0	14434	15870	15957	16583	15926	51	16588	15184	15922	16517	15316	16389	15322	15727	15156	15324	15949	14926	15925	15959	16187	140	15207	16599	15998	1463	15028	15583	15992	15761	15429	15329	16006	16569	16289	48	14439	15770	15050	14445	16547	15473	15282	15498	16177	15908	15908	155	15335	15759	15791	739	15306	15918	15319	46	15048	15808	15071	16521	16588	15752	15989	15404	15137	16380	15322	15621	50	15285	16083	16593	15987	36	16160	48	16197	16053	15070	15713	15920	15756	15919	16021	15676	16587	16241	15755	15032	15976	15999	15123	15937	15037	16384	14915	15933	16570	16260	15940	15484	20	16540	15927	15460	15487	15288	15164	16159	15315	15942	15963	16532	15139	15045	14424	16139	15850	15818	45	16587	15376	15920	16365	15344	15915	15919	14433	15137	9	46	16044	16016	14469	52	15624	15942	16269	48	16065	16706	14402	145	15101	15083	15966	15912	15307	15414	15269	15420	15276	14430	16591	16538	781	54	16181	14825	15833	15153	16275	15486	14958	15058	15174	15302	14475	15046	16061	14854	15067	16542	15508	15214	15974	15430	15864	15039	15286	15757	15966	14446	15943	54	15458	16575	16616	15983	49	15985	15026	15828	15654	15351	16565	15412	15186	15377	16532	15919	15975	15921	15747	15945	15049	15441	15006	14478	15915	15213	14456	52	14920	15766	14451	57	16412	15917	15031	15428	15767	14444	15956	15219	54	15867	14456	14958	60	15898	56	16370	15944	14485	60	16506	15621	281	15480	15911	15171	15042	16086	55	15191	15986	58	15153	15284	15155	15036	16291	15960	15057	157	15042	15189	15965	57	15022	15863	15483	14482	56	15946	15044	15997	14506	15363	15342	58	15127	15614	15364	16002	15720	15800	51	16577	16268	15844	15042	15723	15228	14474	56	15140	15943	14446	16521	15945	15986	15065	16255	15049	15929	15813	15332	15947	15893	15994	15220	15324	15946	15054	15851	15064	16579	15195	15043	16394	14430	15318	15970	15133	15508	15112	16328	16714	15539	15633	15843	16197	15292	16399	16566	14742	15885	16305	14417	16167	15024	15642	15944	15987	14436	15811	15307	15807	16542	15649	15303	46	16554	15973	16612
PG102	14810	15542	15751	14434	0	15987	15584	16313	15727	14461	16299	14897	15894	16093	14456	16032	14486	14898	14368	15405	15974	14690	15542	15953	16259	14408	14781	16320	15608	14441	14260	15101	15482	15431	14868	14491	16042	16228	15746	14429	4961	14931	14249	4988	16233	14927	14910	15108	16231	15464	15732	14362	14494	15616	15601	14457	14684	15308	14658	14427	14260	15958	14279	16215	16286	15622	15599	14919	15164	16016	14487	15017	14446	14464	15678	16288	15498	14436	15886	14440	16247	15615	14896	14831	14924	14909	15726	15517	15640	16260	15733	15599	14017	15599	15620	14379	15770	14251	15995	14701	15758	16285	15743	15749	15167	14415	16206	14942	14955	15269	14459	14810	16227	14495	15728	15752	16221	14859	14264	4936	16210	15812	15968	14409	16293	14489	15731	16015	14472	15733	15750	4956	14349	14445	14442	15601	14968	4961	14442	15261	15744	16098	14455	15734	16172	4962	14406	14286	14278	15750	15420	14435	14665	14458	14944	14447	4961	16284	16207	14400	14446	14988	15211	15889	14375	15753	15286	14803	14264	14889	14472	4973	14257	15654	15152	14257	16218	15176	14985	15770	14854	15579	14249	14755	14901	15758	4995	15750	14453	14866	16275	16319	15770	14457	16025	14249	15952	15157	14480	16303	14789	14383	15306	16249	15756	15598	15718	14895	15732	14256	14965	14216	4961	15755	14894	4961	14461	14791	15150	4968	14465	16022	15600	14258	14960	15148	4962	15756	14508	14440	15619	5000	14815	14448	15066	14425	16012	15759	4981	14440	16512	15040	14449	15157	15315	14373	14255	15666	14436	14879	15992	14484	14363	14839	14872	14250	15763	16122	14244	14402	14270	14397	15964	14389	14240	15581	14841	4966	14421	15331	14247	15977	4976	14470	15491	14461	14840	15131	14462	15274	15144	15583	14432	16255	15595	15974	14255	14699	14779	4995	14429	14360	15434	4977	16207	15454	15999	14283	15739	14266	15516	15580	14474	15730	15293	15289	14484	14455	15747	14276	15783	14283	16233	14760	14262	16025	4973	14463	15594	14350	15094	14345	15891	16165	15656	15746	15761	15593	14448	16028	16240	14651	15060	15894	4968	15528	14253	15088	15729	15588	4965	16103	14452	14810	16228	15037	14455	14459	16211	15582	16312
PG103	14683	15500	15671	15870	15987	0	15578	16509	15667	15962	16515	15280	475	16136	14245	16278	14287	14952	14939	15462	378	15007	16077	874	16106	16007	14654	16511	15671	15835	14854	15878	15390	15857	15234	14250	1172	16403	15783	15976	15435	15004	14882	15444	16390	15263	14417	15164	16094	16063	15628	15921	14252	15760	15354	15787	14853	14928	15397	15982	14908	16103	14883	16441	16503	15746	15582	14867	14871	16271	14233	14782	15951	14189	15212	16509	15437	15966	16146	15962	16118	15643	15254	14921	15424	14983	15631	15805	15427	16485	15609	15766	15000	15570	15596	14938	15663	14866	16267	15030	15652	16480	15750	15653	15221	15896	16396	15351	14893	15028	14242	14755	16082	14263	15659	15679	16416	15223	14885	15404	16042	16019	16091	15931	16498	14946	15631	16266	14943	15675	15650	15412	14920	15881	15954	15506	15235	15452	15980	14637	15666	16377	15978	15643	16171	15368	15986	14899	14940	15687	16073	14243	15456	14249	15033	14238	15417	16510	16414	15968	15975	15753	15521	16020	14957	15762	15791	15211	14899	15252	14249	15437	14877	14968	15480	14900	16413	14933	15313	15679	15129	15969	14878	13965	14981	15663	15422	15658	15936	15154	16502	16496	15694	15964	384	14866	16117	14815	14266	16501	15128	14972	15653	15853	15600	15572	15574	15017	15665	14894	15027	14856	15465	15663	15280	15440	15971	15178	15928	15454	15984	16293	15659	14881	15005	15922	15458	15675	15158	15965	15747	15459	15233	15943	14873	15961	16273	15674	15459	15947	16753	15856	15958	15492	15261	14953	14872	15599	15929	15266	400	16001	14951	14718	15254	14887	15803	16658	14871	15972	14910	14959	389	15942	14856	15410	15600	15453	15934	15312	14895	408	15475	14944	15398	15981	15214	15550	14942	15912	15862	15344	15965	16419	15760	16111	14881	14882	14706	15441	15975	14931	16118	15423	16349	15574	374	14882	15759	14894	15640	15359	14243	15697	15266	15639	15134	14265	15658	14886	15432	14896	16409	14650	14861	16274	15398	14241	15581	14930	15821	14892	16400	16155	15891	15766	16008	16162	14233	16290	16425	14693	14883	16416	15400	16165	14839	14818	15659	15483	15362	4605	14255	15707	16383	15122	14244	15985	16393	15573	16518
PG104	14840	1111	14377	15957	15584	15578	0	15906	14381	15995	15900	14956	15474	15853	14648	15684	14677	14787	15159	14688	15545	14383	15450	15616	15197	16034	14821	15912	1588	15848	14937	15310	14237	15081	15451	14686	15747	15357	2874	15992	15123	14830	14936	15157	15347	15493	14885	16028	15161	15482	14348	15944	14685	14598	14789	15971	14050	14662	14970	15984	14959	14735	14946	15837	15906	14587	40	13978	15106	15686	14694	14723	15970	14648	1387	15884	2737	15992	15198	15979	15169	468	14865	14798	14950	14818	14355	14753	14789	15874	14451	14589	15452	52	45	15044	14380	14935	15641	14399	14390	15884	2886	14384	16032	15934	15334	15674	13903	14357	14656	14756	15158	14685	14376	14413	15340	14913	14934	15129	15129	14794	14731	15961	15899	14589	14392	15677	14582	14408	14383	15124	15156	15953	15962	1817	14923	15167	16001	14852	14406	15158	15979	14935	15860	15113	16024	14967	14981	14382	15912	14668	14870	14647	13329	14655	15136	15903	15361	15648	15984	15462	15234	14643	15059	2892	14489	15087	14967	14960	14674	15158	14951	14841	15231	14954	15357	14319	15205	14396	15153	16468	14937	14873	14830	14381	15142	14404	15968	15147	15897	15921	14405	15985	15631	14963	14746	14777	14698	15898	14995	15201	15518	15152	14385	47	14328	14876	14402	14931	13333	14909	15164	14359	14946	15143	15983	15074	15263	15153	15985	15696	14685	14948	13360	15271	15114	14408	14494	15980	14792	15164	15112	15972	14275	15971	15665	14382	15175	15974	15275	15020	16058	14885	14150	15186	14965	14289	15951	14951	15621	16005	15170	14886	14966	14947	2878	15341	14984	16019	14978	15173	15589	15981	14943	1695	14570	15177	15958	14168	14947	15574	15189	14561	15500	15979	14902	14304	14562	14891	15223	1500	15986	15374	15259	14726	14948	14746	14838	15201	15983	15159	15918	15156	15339	15532	15611	14966	2873	14948	14175	1513	14679	14429	14128	15308	14460	14678	14384	14951	15106	14960	15357	14807	14939	15688	15133	14647	41	15180	15113	15028	16038	15864	14640	14585	14999	15592	14645	15702	15369	15197	14271	16025	15128	15669	14956	13758	14366	1931	15117	15850	14675	16277	15367	14432	14653	15986	15330	44	15923
PG105	15235	15750	16274	16583	16313	16509	15906	0	16292	16647	123	14607	16316	5457	15244	5385	15301	14951	15060	14888	16437	15601	15064	16659	16187	16662	15181	130	16108	16533	15007	15662	15057	15722	15681	15285	16698	15353	16217	16613	16150	14985	15050	16124	15372	15713	15332	17117	16171	14950	16214	16575	15282	16689	15777	16744	15135	15800	15019	16585	15038	15769	15043	121	86	16691	15929	15010	15633	5383	15293	15230	16577	15223	15297	130	15907	16626	4810	16607	16197	15919	14905	14876	16636	14951	16191	15887	15389	94	15607	16707	15797	15921	15977	15132	16216	15014	5362	15597	16259	115	16151	16225	17140	16560	15346	16613	15028	15318	15240	15049	16190	15294	16226	16254	15337	14502	15012	16112	16119	15700	15744	16561	89	15166	16220	5374	15117	16208	16250	16112	15068	16607	16598	15709	16302	16166	16620	15414	16265	16107	16603	15831	6284	16095	16657	15094	15086	16274	16550	15232	15427	15217	15041	15242	16131	97	15341	16529	16587	15530	15772	15534	15174	16176	14833	14950	15047	14562	15229	16180	15019	16204	15748	15019	15381	15375	15017	16240	15099	17465	15025	14412	14912	16260	16162	16268	16550	15160	86	138	16284	16592	16530	15043	15773	15309	15307	100	14850	15145	15349	16249	16235	15923	16198	14913	16236	15020	15033	14998	16172	16262	14578	16147	16609	14959	15571	16136	16623	5431	14452	15011	15016	15551	16129	16285	14944	16580	15483	16137	15004	16556	14972	16559	5369	16258	16144	16556	16376	15585	16583	16312	14660	15113	15018	15420	16532	14591	16504	16667	15091	15278	14563	15065	16220	15982	15040	16606	15066	15119	16459	16578	15017	15673	15466	16142	16540	14716	15027	16483	16199	15133	16706	16621	14449	15432	15137	14218	15526	15624	16604	15389	15206	15770	15027	15040	15247	16141	16589	15083	16596	16150	15306	14645	16500	15045	16181	15041	15473	15645	15254	16265	14667	15001	14918	15260	16253	15042	17243	15062	15425	15188	15020	5374	16086	15254	15925	15095	15639	15120	16526	6275	15554	15299	17123	14951	15245	5399	15364	16027	15009	16578	16087	16366	15022	14922	16239	15590	16058	15598	15257	17516	15369	15540	15258	16626	15340	15930	107
PG106	14604	14276	19	15926	15727	15667	14381	16292	0	15945	16283	14872	15535	16023	14777	16408	14770	14969	13895	15659	15629	14274	15731	15854	6483	16035	14576	16307	14460	15889	13884	15396	14967	15944	15813	14791	15825	15823	14909	15945	15696	14984	13891	15725	15806	15826	14578	16205	6445	15707	45	15947	14806	15413	15434	15722	14931	15424	14853	15942	13925	15851	13917	16276	16281	15425	14392	14902	15423	16390	14800	15006	15932	14777	14529	16267	14563	15944	15624	15942	6454	14266	14843	14958	15498	14991	46	15431	15568	16268	15426	15409	15314	14411	14398	13903	42	13880	16273	14259	41	16270	14875	49	16207	15921	15820	15387	14891	14821	14785	14619	6440	14802	45	47	15793	14820	13908	15693	6435	15646	15853	15904	16265	14842	45	16377	14803	41	50	15674	13883	15940	15926	14663	15625	15762	15950	15104	44	16187	15968	15479	16254	15670	16004	13933	13952	39	16464	14792	14723	14768	14694	14779	15703	16288	15809	15884	15958	15338	15398	15736	13924	14871	15410	14445	13902	14871	14781	15733	13902	15573	15422	13901	15789	14831	14896	47	15438	16775	13885	15585	15000	39	15707	41	15942	15463	16266	16299	49	15934	15728	13885	15862	15027	14820	16274	15249	13933	14875	7019	41	14403	47	14975	42	13922	14718	13887	15723	42	14888	15707	15946	14416	15491	15722	15954	16354	15126	13894	14685	15493	15708	32	14398	15940	15778	15713	14476	15935	15283	15938	16399	43	15742	15915	16275	15276	16058	14694	14883	13885	13894	15199	15902	14860	15732	15978	13899	14649	14854	13904	14910	16213	13906	15987	13915	13922	15675	15914	13905	14770	14672	15723	15918	14917	13902	15672	15767	14830	16211	15946	14825	15671	14809	15080	15455	14691	15942	15823	15504	15867	13878	14981	14634	15730	15947	13888	16471	15684	15794	15566	15708	13924	14880	13919	16084	14694	14824	18	14924	15367	14344	14790	36	13904	15527	13918	15825	14592	13904	16395	15680	14774	14397	13889	15363	13901	15722	16246	15619	15422	15725	15386	14772	16430	15823	15628	15263	15727	15680	15354	13901	14917	12	14579	15675	15877	14769	16746	15812	15641	14764	15960	15808	14400	16311
PG107	15240	15955	15965	51	14461	15962	15995	16647	15945	0	16653	15203	15939	16553	15318	16425	15327	15753	15175	15329	16037	14924	15960	16069	16230	136	15210	16660	16034	1476	15051	15625	16028	15802	15454	15333	16101	16571	16324	37	14471	15795	15070	14477	16552	15492	15293	15520	16220	15956	15924	156	15336	15792	15829	723	15336	15934	15325	39	15067	15830	15088	16567	16657	15783	16024	15433	15171	16418	15329	15632	36	15295	16125	16655	16020	29	16201	52	16233	16080	15097	15741	15953	15783	15937	16039	15680	16653	16271	15786	15066	16014	16032	15139	15957	15060	16416	14916	15953	16632	16294	15951	15498	49	16545	15967	15499	15515	15297	15168	16205	15318	15960	15986	16537	15159	15069	14458	16179	15879	15834	31	16651	15411	15938	16400	15376	15935	15935	14467	15159	54	50	16077	16059	14497	47	15637	15958	16309	51	16085	16734	14444	158	15117	15101	15978	15959	15312	15433	15273	15447	15278	14468	16655	16539	787	44	16206	14859	15869	15176	16302	15487	14977	15075	15195	15310	14499	15065	16062	14890	15083	16539	15539	15232	15992	15450	15888	15058	15314	15780	15986	14489	15966	47	15486	16640	16682	16000	38	16084	15047	15845	15669	15355	16628	15437	15212	15394	16581	15936	16010	15942	15776	15963	15074	15464	15025	14512	15933	15229	14491	41	14938	15793	14485	16	16444	15915	15050	15450	15789	14475	15976	15232	50	15887	14489	14977	51	15919	50	16408	15963	14519	52	16535	15645	285	15491	15949	15184	15066	16127	50	15209	16088	19	15174	15288	15171	15054	16328	16007	15079	160	15064	15214	16066	55	15048	15900	15516	14522	47	15984	15065	16088	14542	15393	15383	13	15143	15624	15389	16019	15747	15837	45	16575	16269	15857	15063	15751	15233	14507	47	15167	15997	14482	16522	15972	16081	15088	16293	15071	15965	15851	15335	15963	15929	16027	15233	15331	15962	15073	15885	15088	16583	15205	15067	16431	14470	15324	16011	15155	15561	15137	16337	16745	15581	15668	15881	16213	15295	16434	16567	14772	15911	16319	14454	16172	15045	15650	15958	16018	14466	15831	15312	15812	16540	15659	15306	33	16551	16011	16678
